"ID","SUBREG.x","MEDIA_ALTU","SUMA_DAP_X","AREA_BASAL","richness","long","lat","FECHA_UM_A","PENDIENT_1","FECHA_UM_1"
34090021,"Chaco SemiÃƒÂ¡rido","6.078787879","6.289817611","17.43601822",33,"-61.66278333","-23.66848333",2018,"sin_pendiente",2018
34090022,"Chaco SemiÃƒÂ¡rido","5.5","6.48764354","13.80167186",47,"-61.66186667","-23.75871667",2018,"sin_pendiente",2018
34090025,"Chaco SemiÃƒÂ¡rido","5.579591837","5.973922908","11.17795183",49,"-61.65905","-24.02953333",2018,"sin_pendiente",2018
34090028,"Chaco SemiÃƒÂ¡rido","6.181578947","4.683795892","6.56327023",38,"-61.65623333","-24.3003",2018,"sin_pendiente",2018
34090029,"Chaco SemiÃƒÂ¡rido","5.716666667","7.655825997","19.85372918",47,"-61.65528333","-24.39056667",2018,"sin_pendiente",2018
34091022,"Chaco SemiÃƒÂ¡rido","6.379310345","4.70175063","10.58996632",29,"-61.56371667","-23.75786667",2018,"sin_pendiente",2018
34091025,"Chaco SemiÃƒÂ¡rido","5.743478261","3.582994838","7.929105125",22,"-61.56076667","-24.02863333",2018,"sin_pendiente",2018
34091028,"Chaco SemiÃƒÂ¡rido","5.523636364","6.698466877","10.52900937",55,"-61.55775","-24.29938333",2018,"sin_pendiente",2018
34091029,"Chaco SemiÃƒÂ¡rido","6.395744681","8.969835338","41.4884548",46,"-61.55673333","-24.38966667",2018,"sin_pendiente",2018
34091030,"Chaco SemiÃƒÂ¡rido","7.068571429","5.974108504","11.14239937",35,"-61.5557","-24.47991667",2018,"sin_pendiente",2018
34092022,"Chaco SemiÃƒÂ¡rido","5.434210526","5.55914464","9.155518338",38,"-61.4657","-23.75691667",2018,"sin_pendiente",2018
34092025,"Chaco SemiÃƒÂ¡rido","8.252631579","6.647","12.23352288",37,"-61.46248333","-24.02766667",2018,"sin_pendiente",2018
34092027,"Chaco SemiÃƒÂ¡rido","7.472727273","4.052882683","7.359237732",22,"-61.46036667","-24.20818333",2018,"sin_pendiente",2018
34092028,"Chaco SemiÃƒÂ¡rido","5.644444444","5.010017543","7.920749903",45,"-61.45928333","-24.29843333",2018,"sin_pendiente",2018
34092029,"Chaco SemiÃƒÂ¡rido","5.404166667","6.16041203","11.822239",48,"-61.45818333","-24.38868333",2018,"sin_pendiente",2018
34092031,"Chaco SemiÃƒÂ¡rido","6.098039216","8.246187864","36.5689136",49,"-61.45598333","-24.56918333",2018,"sin_pendiente",2018
34093022,"Chaco SemiÃƒÂ¡rido","6.372413793","4.493496303","8.228565193",28,"-61.36766667","-23.75591667",2018,"sin_pendiente",2018
34093024,"Chaco SemiÃƒÂ¡rido","6.756756757","6.1812793","12.48268369",37,"-61.36543333","-23.93638333",2018,"sin_pendiente",2018
34093025,"Chaco SemiÃƒÂ¡rido","5.542424242","4.362456106","7.352808934",33,"-61.36425","-24.02666667",2018,"sin_pendiente",2018
34093031,"Chaco SemiÃƒÂ¡rido","7.246153846","4.042843551","8.152280255",26,"-61.3573","-24.56813333",2018,"sin_pendiente",2018
34094022,"Chaco SemiÃƒÂ¡rido","6.13125","2.590875976","4.355963748",16,"-61.26956667","-23.75485",2018,"sin_pendiente",2018
34094023,"Chaco SemiÃƒÂ¡rido","8.047826087","5.803","18.05308561",23,"-61.26841667","-23.84508333",2019,"sin_pendiente",2019
34094024,"Chaco SemiÃƒÂ¡rido","10.06060606","6.969844198","15.07188901",33,"-61.26719444","-23.93533333",2019,"sin_pendiente",2019
34094025,"Chaco SemiÃƒÂ¡rido","6.05","4.703751295","8.471501254",34,"-61.266","-24.02558333",2018,"sin_pendiente",2018
34094026,"Chaco SemiÃƒÂ¡rido","5.652173913","4.904773499","12.18715588",23,"-61.26477778","-24.11583333",2018,"sin_pendiente",2018
34094029,"Chaco SemiÃƒÂ¡rido","7.116666667","7.738779326","14.48924067",54,"-61.2611","-24.38655",2018,"sin_pendiente",2018
34094030,"Chaco SemiÃƒÂ¡rido","7.4","8.540265381","22.67382765",51,"-61.25986667","-24.47678333",2018,"sin_pendiente",2018
34094031,"Chaco SemiÃƒÂ¡rido","5.623636364","6.905197165","12.7458857",55,"-61.25861667","-24.56701667",2018,"sin_pendiente",2018
34095023,"Chaco SemiÃƒÂ¡rido","9.503030303","9.508258059","52.57839931",33,"-61.17030556","-23.84397222",2019,"sin_pendiente",2019
34095024,"Chaco SemiÃƒÂ¡rido","8.908333333","5.819676479","10.85905764",36,"-61.16902778","-23.93419444",2019,"sin_pendiente",2019
34095025,"Chaco SemiÃƒÂ¡rido","9.678571429","6.288045052","14.95969315",28,"-61.16772222","-24.02444444",2019,"sin_pendiente",2019
34095028,"Chaco SemiÃƒÂ¡rido","6.1359375","9.285444449","19.08971034",64,"-61.16388333","-24.29515",2018,"sin_pendiente",2018
34095032,"Chaco SemiÃƒÂ¡rido","7.632","7.808163194","12.9692033",50,"-61.15863333","-24.6561",2018,"sin_pendiente",2018
34096022,"Chaco SemiÃƒÂ¡rido","6.030612245","5.929109183","8.618641359",49,"-61.07348333","-23.75251667",2018,"sin_pendiente",2018
34096024,"Chaco SemiÃƒÂ¡rido","6.023076923","6.063506705","12.9516513",39,"-61.0709","-23.933",2018,"sin_pendiente",2018
34096026,"Chaco SemiÃƒÂ¡rido","6.496226415","9.455983992","28.57289475",52,"-61.06815","-24.11345",2018,"sin_pendiente",2018
34096032,"Chaco SemiÃƒÂ¡rido","5.175","4.888126574","9.461623659",36,"-61.0599","-24.65485",2019,"sin_pendiente",2019
34097025,"Chaco SemiÃƒÂ¡rido","5.897619048","6.546868036","13.61591192",42,"-60.97126667","-24.02198333",2018,"sin_pendiente",2018
34097026,"Chaco SemiÃƒÂ¡rido","5.9675","5.900203868","13.45560305",40,"-60.96985","-24.11218333",2018,"sin_pendiente",2018
34097027,"Chaco SemiÃƒÂ¡rido","5.605714286","4.250609712","6.425813692",35,"-60.96843333","-24.20243333",2018,"sin_pendiente",2018
34097030,"Chaco SemiÃƒÂ¡rido","6.735","5.87555835","9.800007038",40,"-60.96413333","-24.47308333",2018,"sin_pendiente",2018
34097032,"Chaco SemiÃƒÂ¡rido","7.330232558","9.016925227","23.9734556",43,"-60.96118333","-24.65353333",2018,"sin_pendiente",2018
34097034,"Chaco SemiÃƒÂ¡rido","6.970588235","8.674242796","18.59784885",51,"-60.95823333","-24.83398333",2018,"sin_pendiente",2018
34098026,"Chaco SemiÃƒÂ¡rido","6.117391304","6.308643063","12.84726481",46,"-60.87155","-24.11085",2018,"sin_pendiente",2018
34098030,"Chaco SemiÃƒÂ¡rido","6.705263158","6.084356017","11.71358796",38,"-60.86551667","-24.47175",2018,"sin_pendiente",2018
34098032,"Chaco SemiÃƒÂ¡rido","6.631914894","7.721840769","16.14135909",47,"-60.86248333","-24.65215",2018,"sin_pendiente",2018
34098036,"Chaco SemiÃƒÂ¡rido","5.894230769","6.820310323","11.04398686",51,"-60.85625","-25.01303333",2018,"sin_pendiente",2018
34099025,"Chaco SemiÃƒÂ¡rido","5.586206897","5.65842104","14.05148197",29,"-60.77476667","-24.01926667",2018,"sin_pendiente",2018
34099027,"Chaco SemiÃƒÂ¡rido","6.20125","6.734210767","12.52428356",39,"-60.7717","-24.19963333",2018,"sin_pendiente",2018
34099036,"Chaco SemiÃƒÂ¡rido","7.145945946","5.298542416","8.782028917",37,"-60.75726667","-25.01156667",2018,"sin_pendiente",2018
34100024,"Chaco SemiÃƒÂ¡rido","6.192307692","4.35483987","10.18720323",26,"-60.67823333","-23.92755",2018,"sin_pendiente",2018
34100027,"Chaco SemiÃƒÂ¡rido","5.5","5.346842401","8.082356021",36,"-60.67335","-24.19818333",2018,"sin_pendiente",2018
34100028,"Chaco SemiÃƒÂ¡rido","6.518644068","9.766423954","18.51703601",58,"-60.6718","-24.2884",2018,"sin_pendiente",2018
34100033,"Chaco SemiÃƒÂ¡rido","7.823404255","8.899581736","16.42985924",47,"-60.66336667","-24.73943333",2018,"sin_pendiente",2018
34100035,"Chaco SemiÃƒÂ¡rido","5.633333333","4.786498224","11.15120282",36,"-60.65998333","-24.91983333",2018,"sin_pendiente",2018
